crop,seed,model,percent,year,rmse
maize,42,lightgbm,30,2007,0.7079977680624345
maize,42,lightgbm,30,2008,0.7132645564961331
maize,45,lightgbm,30,2006,0.6191176015090569
maize,45,lightgbm,30,2007,0.7158639637831025
maize,45,lightgbm,30,2008,0.7127944240847154
maize,48,lightgbm,30,2006,0.6230063124940076
maize,48,lightgbm,30,2007,0.7127941732990862
maize,48,lightgbm,30,2008,0.7151370215265066
maize,42,random_forest,30,2006,0.6232946323401709
maize,42,random_forest,30,2007,0.6978243993727169
maize,42,random_forest,30,2008,0.6798897944508941
maize,45,random_forest,30,2006,0.6249325028101004
maize,45,random_forest,30,2007,0.6981651198343152
maize,45,random_forest,30,2008,0.6763981308415181
maize,48,random_forest,30,2006,0.6240818841829378
maize,48,random_forest,30,2007,0.6975328245738277
maize,48,random_forest,30,2008,0.6758985884722282
maize,42,lightgbm,50,2006,0.6257284995966487
maize,42,lightgbm,50,2007,0.7264088531503927
maize,42,lightgbm,50,2008,0.7148793120368713
maize,45,lightgbm,50,2006,0.6280512273525312
maize,45,lightgbm,50,2007,0.7275680831352335
maize,45,lightgbm,50,2008,0.7180965866203006
maize,48,lightgbm,50,2006,0.6258039893166013
maize,48,lightgbm,50,2007,0.7261747445760444
maize,48,lightgbm,50,2008,0.7094312325555516
maize,42,random_forest,50,2006,0.6281028678851919
maize,42,random_forest,50,2007,0.7197165050277767
maize,42,random_forest,50,2008,0.6812666183953968
maize,45,random_forest,50,2006,0.6273390447962938
maize,45,random_forest,50,2007,0.7216161823266278
maize,45,random_forest,50,2008,0.6822379786970406
maize,48,random_forest,50,2006,0.6286275164032624
maize,48,random_forest,50,2007,0.7207451742076645
maize,48,random_forest,50,2008,0.6818799085718218
maize,42,lightgbm,10,2010,0.6895403790917715
maize,42,lightgbm,10,2011,0.8037818925944026
maize,42,lightgbm,10,2012,1.0701768556870808
maize,42,lightgbm,10,2013,0.8176351389566753
maize,42,lightgbm,10,2014,0.7348419797549265
maize,42,lightgbm,10,2015,1.571127429450569
maize,42,lightgbm,10,2016,0.6730750180346887
maize,45,lightgbm,10,2010,0.6903202050678499
maize,45,lightgbm,10,2011,0.8069171764207141
maize,45,lightgbm,10,2012,1.068595555242582
